customer_id,login_freq_week1,login_freq_week12,session_duration_week1,session_duration_week12,features_used_week1,features_used_week12,response_delay_week1,response_delay_week12,inactivity_gaps,action_interval_increase_pct,churn,engagement_momentum,behavioral_drift,silence_index,response_degradation,session_decay_rate,consistency_score
CUST_00001,18,20,37,35,8,6,3,1,3,1.5891339740891797,0,11.11111111111111,25.0,3.0317826794817835,-66.66666666666666,5.405405405405405,98.0
CUST_00002,21,24,49,28,8,10,2,2,3,29.463284193795435,0,14.285714285714285,-25.0,3.589265683875909,0.0,42.857142857142854,88.0
CUST_00003,15,8,30,11,8,3,1,11,10,165.3315414779773,1,-46.666666666666664,62.5,13.306630829559547,1000.0,63.33333333333333,87.0
CUST_00004,23,21,49,36,7,9,3,1,3,3.940009903922909,0,-8.695652173913043,-28.57142857142857,3.0788001980784583,-66.66666666666666,26.53061224489796,92.5
CUST_00005,28,25,41,46,8,6,1,2,2,49.26107603303789,0,-10.714285714285714,25.0,2.9852215206607577,100.0,-12.195121951219512,96.0
CUST_00006,16,5,33,12,8,2,2,13,8,250.526276156654,1,-68.75,75.0,13.01052552313308,550.0,63.63636363636363,84.0
CUST_00007,25,7,27,14,7,2,1,15,11,190.4921740176417,1,-72.0,71.42857142857143,14.809843480352834,1400.0,48.148148148148145,84.5
CUST_00008,23,3,35,5,7,1,2,14,9,159.92829078173207,1,-86.95652173913044,85.71428571428571,12.198565815634641,600.0,85.71428571428571,75.0
CUST_00009,24,7,35,8,9,4,3,15,7,189.73202497470788,1,-70.83333333333334,55.55555555555556,10.794640499494157,400.0,77.14285714285715,78.0
CUST_00010,26,24,38,46,10,10,2,3,1,49.86628889945805,0,-7.6923076923076925,0.0,1.997325777989161,50.0,-21.052631578947366,95.0
CUST_00011,25,17,31,31,8,7,3,4,0,19.238365583725002,0,-32.0,12.5,0.38476731167450007,33.33333333333333,0.0,96.0
CUST_00012,25,24,38,45,7,6,3,3,2,5.577608679793822,0,-4.0,14.285714285714285,2.1115521735958764,0.0,-18.421052631578945,96.0
CUST_00013,25,16,38,44,8,10,1,3,1,7.64196342748174,0,-36.0,-25.0,1.1528392685496347,200.0,-15.789473684210526,92.5
CUST_00014,23,8,41,5,10,3,2,8,6,289.36479243969256,1,-65.21739130434783,70.0,11.787295848793852,300.0,87.8048780487805,74.5
CUST_00015,19,3,26,8,10,1,1,19,12,272.40348801301326,1,-84.21052631578947,90.0,17.448069760260264,1800.0,69.23076923076923,83.0
CUST_00016,23,8,29,7,9,2,2,16,14,213.47069103013303,1,-65.21739130434783,77.77777777777779,18.26941382060266,700.0,75.86206896551724,81.5
CUST_00017,26,19,39,40,9,9,3,4,0,12.395280683300397,0,-26.923076923076923,0.0,0.24790561366600794,33.33333333333333,-2.564102564102564,96.0
CUST_00018,18,25,47,35,8,6,1,1,1,3.3700164055153747,0,38.88888888888889,25.0,1.0674003281103075,0.0,25.53191489361702,90.5
CUST_00019,23,17,46,35,9,9,1,2,3,12.149862119786226,0,-26.08695652173913,0.0,3.2429972423957247,100.0,23.91304347826087,91.5
CUST_00020,24,19,33,31,10,8,2,4,3,43.19183741848016,0,-20.833333333333336,20.0,3.8638367483696032,100.0,6.0606060606060606,96.5
CUST_00021,28,26,33,29,10,8,1,2,1,9.510445422040576,0,-7.142857142857142,20.0,1.1902089084408116,100.0,12.121212121212121,97.0
CUST_00022,24,18,38,42,8,6,2,1,0,32.6072446999261,0,-25.0,25.0,0.6521448939985219,-50.0,-10.526315789473683,95.0
